ref_id,authors,published_year,journal,doi,title,abstract,country,country_imputed,country_combined,biome_classified,biome_imputed,biome_combined,spatial_scale,deployment_number,site_number,trap_night,temporal_scale_month,taxonomy_scope,primary_taxonomic_group,scientific_name,species_count_minimum,focal_species_emphasis,focal_species_scientific_name,abundance,occupancy,density,species_distribution,detectability,demographic_rate,population_growth_rate,social_dynamics,group_size,group_composition,age_structure,sex_ratio,space_use_extent,habitat_landscape_use,dispersal,connectivity,within_species_spatial_overlap,behavioral_response_to_factor,diel_activity,behavioral_state_classification,predator_prey_interaction,interspecific_competition,scavenging,herbivory,seed_dispersal,interspecific_temporal_spatial_avoidance,species_richness,diversity_or_evenness,community_composition,trophic_or_functional_structure,human_wildlife_overlap,anthropogenic_disturbance_effect,direct_human_pressure,sampling_method,camera_main,statistical_method_listed,statistical_method_other,study_approach,temporal_design,extraction_confidence
RO0001,"Wynne, JJ; Cal, RN",2025,WILSON JOURNAL OF ORNITHOLOGY,10.1080/15594491.2024.2444010,A Bare-throated Tiger-Heron (Tigrisoma mexicanum) hunts in a cave,"We report the first documented event of a Bare-throated Tiger-Heron (Tigrisoma mexicanum) hunting in a cave. Using trail cameras, these observations were captured at Runaway Creek Nature Reserve (RCNR) in central Belize. In April 2023, we observed a first-year juvenile tiger-heron using a cave as a feeding site for approximately 29 h over 16 separate occasions. At the beginning of the first day of observations, a juvenile tiger-heron captured a false firemouth (Amphilophus robertsoni) in the twilight zone of the cave, which was followed by seven subsequent video segments where a juvenile approached the water's edge in a hunting gait. Combined with the identification of heron tracks within a nearby cave a year prior, our observations suggest that cave use by herons may be more frequent than previously reported. As cave entrances are characterized by low-light conditions during the day and roughly 81% of the observations occurred during non-twilight daytime hours, we discuss how cave habitats may extend the foraging period for some crepuscular-foraging avian species. Continuing to monitor RCNR caves and expanding trail camera monitoring efforts to additional flooded and/or stream caves across Belize will serve to assess the frequency of cave use by T. mexicanum and other avian species.Reportamos el primer evento documentado de una garza tigre (Tigrisoma mexicanum) cazando en una cueva. Usando c & aacute;maras trampa, esta observaci & oacute;n se realiz & oacute; en la Reserva Natural Runaway Creek (RCNR) en el centro de Belice. En abril de 2023, observamos una garza juvenil de primer a & ntilde;o que utiliz & oacute; una cueva como lugar de alimentaci & oacute;n durante aproximadamente 29 horas en 16 ocasiones distintas. Al comienzo del primer d & iacute;a de observaci & oacute;n, un juvenil de garza captur & oacute; un falso boca de fuego (Amphilophus robertsoni) en la zona penumbra de la cueva. Siguieron al menos seven segmentos de v & iacute;deo posteriores en los que un juvenil de garza tigre se acercaba al borde del agua con actitud de caza. Combinadas con la identificaci & oacute;n de huellas de garza dentro de una cueva cercana un a & ntilde;o antes, nuestras observaciones sugieren que el uso de cuevas por parte de las garzas puede ser m & aacute;s frecuente de lo informado anteriormente. Adem & aacute;s, como las entradas de las cuevas se caracterizan por condiciones de poca luz durante el d & iacute;a y aproximadamente el 81% de las observaciones ocurrieron de d & iacute;a, discutimos c & oacute;mo estos h & aacute;bitats pueden extender el per & iacute;odo de alimentaci & oacute;n para algunas especies de aves que se alimentan crepuscularmente. Continuar el monitoreo de las cuevas de RCNR y extender los esfuerzos de monitoreo con c & aacute;maras trampa a otras cuevas inundadas y/o fluviales de Belice ayudar & aacute; a evaluar la frecuencia del uso de cuevas por T. mexicanum y otras especies de aves.",Belize,NA,Belize,NA,NA,NA,local,NA,NA,NA,1,single_species,bird,Tigrisoma mexicanum,2,1,Tigrisoma mexicanum,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,camera,1,NA,NA,observational,cross_sectional,90
RO0005,"Reece, SJ; Radloff, FGT; Leslie, AJ; Amin, R; Tambling, CJ",2021,AFRICAN JOURNAL OF ECOLOGY,10.1111/aje.12913,A camera trap appraisal of species richness and community composition of medium and large mammals in a Miombo woodland reserve,"Biological monitoring in protected areas is essential for making management decisions, especially in small (<1000 km(2)), fenced reserves which require intensive intervention to maintain core habitat characteristics. Estimates of species richness and community structure provide important information for planning and evaluating conservation strategies. Majete Wildlife Reserve (MWR) is a small (691 km(2)), isolated reserve in southern Malawi in the Miombo Woodland Ecoregion. We investigated species richness and community structure of the terrestrial medium and large mammals at MWR through a standardised camera trap survey. During the 2018 dry season, 140 camera locations were sampled for 40 days each. Thirty-five mammal species were detected and Chao 2, ICE and Jackknife 1 and 2 richness estimators indicated between 36-41 species present which aligns closely with historic accounts. Non-detection of some species is attributed to species specialised habitat requirements not catered for in the systematic camera trap survey design. Mammal community structure, calculated from the camera detected species' relative abundance indices (RAI), was atypical for Miombo woodland, with an underrepresentation of elephants. Camera trap-derived RAI was positively related with 2018 aerial census species encounter data. These results can assist management in refining survey techniques and act as a baseline to monitor conservation efforts.",Malawi,NA,Malawi,NA,grassland,grassland,local,140,NA,NA,1,community,mammal,NA,35,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,camera,1,RAI,NA,observational,cross_sectional,95
RO0006,"Cervera, L.; Lizcano, D.J.; Pares-Jimenez, V.; Espinoza, S.; Poaquiza, D.; de la Montana, E.; Griffith, D.M.",2016,Check List,10.15560/12.2.1868,"A camera trap assessment of terrestrial mammals in machalilla national park, Western Ecuador","Understanding the abundance, geographic distribution, and conservation status of terrestrial mammals is vital to promote effective wildlife management in protected areas. Located in the Tumbes-Choco-Magdalena hotspot of western Ecuador, Machalilla National Park contains high levels of biodiversity and endemism but suffers from habitat loss and degradation. This study provides an updated inventory of mediumsized to large mammals in the park and assesses changes in species richness over the past 20 years. Surveying 70% of Machalilla's 562-km2 terrestrial area with 60 camera trap points, we detected 18 species of mammals belonging to 13 families. Richness of terrestrial species has declined in recent decades, due to the disappearance of keystone species like Jaguar (Panthera onca), Whitelipped Peccary (Tayassu pecari), and possibly the Sechuran Fox (Lycalopex sechurae). We recommend specific management improvements to ensure conservation of the unique ecosystems and biodiversity of Machalilla, the only national park in Ecuador containing dry forest. (C) 2016 Check List and Authors.",Ecuador,NA,Ecuador,NA,shrubland,shrubland,local,60,NA,NA,NA,community,mammal,Panthera onca;Tayassu pecari;Lycalopex sechurae,18,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,camera,1,NA,NA,observational,NA,90
RO0007,"Mugerwa, B; Sheil, D; Ssekiranda, P; van Heist, M; Ezuma, P",2013,AFRICAN JOURNAL OF ECOLOGY,10.1111/aje.12004,"A camera trap assessment of terrestrial vertebrates in Bwindi Impenetrable National Park, Uganda","We placed camera traps for a month at sixty locations in Bwindi Impenetrable National Park to determine the species composition and distribution of medium-to-large terrestrial vertebrates. A total of 15912 images were recorded from 1800 camera trap days. These provided a total of 625 and 338 camera events when filtered by hour and day, respectively. Twenty mammal species were recorded from 594 and 314 camera events by hour and day, respectively. Four bird species were recorded from 31 and 24 camera events by hour and day, respectively. The African golden cat Profelis aurata Temminck was recorded from 27 and nineteen camera events by hour and day, respectively. The black-fronted duiker Cephalophus nigrifrons Gray was most frequently photographed with 179 and 65 camera events by hour and day, respectively. Analyses reveal two species possessed a significantly interior-biased distribution. One species showed an edge-biased pattern. Five species were detected to have significantly biased altitudinal distributions with higher elevations. Distance to park edge and elevation can significantly influence species distribution. The selective use of the park limits the area that each species utilizes, with implications for maximum population sizes and viability. Our observations provide a baseline for long-term terrestrial vertebrate monitoring in Bwindi.",NA,Uganda,Uganda,rainforest,NA,rainforest,local,NA,60,1800,1,community,multi_taxa,Profelis aurata;Cephalophus nigrifrons,24,0,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,camera,1,NA,NA,observational,cross_sectional,95
RO0008,"Hedwig, D; Kienast, I; Bonnet, M; Curran, BK; Courage, A; Boesch, C; Kuehl, HS; King, T",2018,AFRICAN JOURNAL OF ECOLOGY,10.1111/aje.12497,"A camera trap assessment of the forest mammal community within the transitional savannah-forest mosaic of the Bateke Plateau National Park, Gabon","Monitoring populations in areas of ecological transition is crucial to understanding species distributions, but also a critical conservation tool. We used camera trapping to investigate the forest mammal community in the Bateke Plateau National Park (BPNP) in Gabon, a transitional landscape that experiences severe poaching. We compiled a species inventory, investigated group sizes and activity patterns of observed species, and conducted an initial test to evaluate whether ecological gradients within this landscape influence species occurrence. Based on 6612 images and videos recorded at 40 locations during 5,902 camera days, we identified 31 mammal species, including eight classified as threatened according to the IUCN. We detected lion (Panthera leo, Linnaeus), which was thought to be extinct in Gabon, and mandrill (Mandrillus sphinx, Linnaeus), for which BPNP was thought to be outside of their natural range. Our findings suggest that BPNP supports a low species richness compared to more forested protected areas. We found no changes in species composition of the forest mammal community with increasing distance from the continuous Gabonese rainforest, but a potential decrease in abundance for some species. Continued survey efforts need to be combined with detailed ecological data collection and effective law enforcement in the region.",Gabon,NA,Gabon,NA,rainforest,rainforest,local,40,40,5902,NA,community,mammal,Panthera leo;Mandrillus sphinx,31,0,NA,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,camera,1,NA,NA,observational,cross_sectional,95
RO0009,"Silva-Rodriguez, EA; Cortes, EI; Alvarez, X; Cabeza, D; Caceres, B; Carinanos, A; Crego, RD; Cisternas, G; Fernandez, R; Godoy, C; Gonzalez, J; Ivanovich-Hichins, R; Jara-Diaz, J; Jimenez-Torres, M; Lopetegui, M; Martinez, M; Matamala, O; Ojeda, F; Paredes, F; Rodriguez, R; Sandoval, J; Schuttler, E; Ulloa-Vera, C; Valencia, C; Valencia-Cardenas, M; Vasquez-ibarra, V; Videla, F; Vilaboa, A; Zlatar, A; Corti, P",2024,GAYANA,NA,"A camera-trap assessment of the native and invasive mammals present in protected areas of Magallanes, Chilean Patagonia","The Chilean Patagonia is characterized by extensive protected areas that encompass most of the region. Mammals are often among the priorities for these protected areas either as conservation targets (e.g., threatened species) or as threats (e.g., invasive species). Camera traps offer a cost-effective alternative to monitor these species, however baseline studies are scarce in the region. Therefore, our objective was to provide an assessment of camera-trapping detection rates for mammals that are present in protected areas of Magallanes, Chilean Patagonia. Between 2015 and 2022 we installed 278 camera traps (9,936 trap-days), distributed in seven protected areas. For each protected area, we calculated the detection rates and proportion of camera traps that detected each species. We recorded 18 mammalian species, including ten native, four domestic, and four invasive species. The culpeo fox (Lycalopex culpaeus) was the most frequently detected species, followed by invasive European hare (Lepus europaeus) and puma (Puma concolor). Endangered species like the huemul (Hippocamelus bisulcus) and southern river otter (Lontra provocax) were detected infrequently, whereas beaver (Castor canadensis) and American mink (Neogale when species of interest are associated with specific features of the landscape (e.g., otters and water), other designs are needed. Based on our findings, we provide recommendations for the design of camera-trapping monitoring plans in protected areas.",Chile,NA,Chile,NA,temperate_deciduous_forest,temperate_deciduous_forest,regional,278,7,9936,96,multi_species,mammal,Lycalopex culpaeus;Lepus europaeus;Puma concolor;Hippocamelus bisulcus;Lontra provocax;Castor canadensis;Neogale,18,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,camera,1,RAI,NA,observational,longitudinal,95
RO0011,"Poulain, F; Breuer, T; Fonteyn, D; Lhoest, S; Lushimba, A; Ahanda, YA; Vermeulen, C",2023,AFRICAN JOURNAL OF ECOLOGY,10.1111/aje.13109,A camera trap survey in the community zone of Lobeke National Park (Cameroon) reveals a nearly intact mammalian community,"Estimating the richness and abundance of animal species remains central to any conservation strategy of a given area. In remote and challenging environments such as tropical forests, camera traps have proven to be successful in documenting secretive wildlife communities compared to other survey methods, as they allow continuous monitoring without the presence of a human observer. Here, we used camera traps to characterise the community of medium and large terrestrial mammals in the community zone of Lobeke National Park, in southeastern Cameroon. We deployed a grid of 40 camera traps over a 5-week period, recording 5156 independent detection events over 1284 camera days. We recorded 35 species, many of them showing high detection rates compared to other sites in central Africa. These results highlight the little disturbance of the studied area within the park despite its accessibility to local communities. These results obtained from a standardised approach using an expanding technology offer valuable information about the wildlife community of Lobeke, and new insights for reconciling human activities with wildlife conservation.",Cameroon,NA,Cameroon,rainforest,NA,rainforest,local,40,NA,1284,1,community,mammal,NA,35,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,camera,1,NA,NA,observational,cross_sectional,95
RO0012,"Brooks, DM; Adul; Cheyne, SM",2018,WILSON JOURNAL OF ORNITHOLOGY,10.1676/17-00047,A camera-trap survey of avifauna in a Bornean peat-swamp forest,"As part of an ongoing camera trapping project in the Sabangau Peat-swamp Forest (Central Kalimantan, Indonesia), we present camera-trap data on the avifauna. The camera traps have captured images and videos since 2008, including 224 individual bird photos representing 142 unique events of 25 species, 11 of which are Endangered, Vulnerable, or Near-Threatened, all of which we describe in species accounts. We describe natural history using quantitative data for Ciconia stormi, Spilornis cheela, and Centropus sinensis and include notes on the virtually unknown Caprimulgus concretus. We also discuss important breeding and behavior observations for S. cheela, Lophura pyronota, C. sinensis, Blythipicus rubiginosus, and Trichixos pyrropygus. Expansions for habitat and range are noted for Accipiter trivirgatus and Pitta nympha. We discuss conservation implications, as well as the usefulness of using long-term camera-trap data to monitor birds.",Indonesia,NA,Indonesia,rainforest,NA,rainforest,local,NA,NA,NA,192,multi_species,bird,Ciconia stormi;Spilornis cheela;Centropus sinensis;Caprimulgus concretus;Lophura pyronota;Blythipicus rubiginosus;Trichixos pyrropygus;Accipiter trivirgatus;Pitta nympha,25,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,camera,1,NA,NA,observational,longitudinal,95
RO0013,"Vinitpornsawan, S; Fuller, TK",2023,ANIMALS,10.3390/ani13081286,A Camera-Trap Survey of Mammals in Thung Yai Naresuan (East) Wildlife Sanctuary in Western Thailand,"Simple Summary We used camera traps to survey wild mammals in a portion of western Thailand and recorded 32 species, 17 of which were IUCN-listed from Near Threatened to Critically Endangered. Of all photo-captures, 4 species comprised 62%, and several species were captured only rarely. This area holds a rich community of mammals, but some differences in photo-rates from an adjacent sanctuary and comparisons with other research on local mammals suggest that some species were missed because of their rarity and the limitations of the technique used. The Thung Yai Naresuan (East) Wildlife Sanctuary (TYNE), in the core area of the Western Forest Complex of Thailand, harbors a diverse assemblage of wildlife, and the region has become globally significant for mammal conservation. From April 2010 to January 2012, 106 camera traps were set, and, in 1817 trap-nights, registered 1821 independent records of 32 mammal species. Of the 17 IUCN-listed (from Near Threatened to Critically Endangered) mammal species recorded, 5 species listed as endangered or critically endangered included the Asiatic elephant (Elephas maximus), tiger (Panthera tigris), Malayan tapir (Tapirus indicus), dhole (Cuon alpinus), and Sunda pangolin (Manis javanica). The northern red muntjac (Muntiacus vaginalis), large Indian civet (Viverra zibetha), Malayan porcupine (Hystrix brachyuran), and sambar deer (Cervus unicolor) were the most frequently recorded species (10-22 photos/100 trap-nights), representing 62% of all independent records, while the golden jackal (Canis aureus), clouded leopard (Neofelis nebulosa), marbled cat (Pardofelis marmorata), and Sunda pangolin were the least photographed (<0.1/100 trap-nights). Species accumulation curves indicated that the number of camera trap locations needed to record 90% of taxa recorded varied from 26 sites for herbivores to 67 sites for all mammals. TYNE holds a rich community of mammals, but some differences in photo-rates from an adjacent sanctuary and comparisons with other research on local mammals suggest that some species are rare and some are missed because of the limitations of our technique. We also conclude that the management and conservation plan, which involves the exclusion of human activities from some protected areas and strict protection efforts in the sanctuaries, is still suitable for providing key habitats for endangered wildlife populations, and that augmented and regular survey efforts will help in this endeavor.",Thailand,NA,Thailand,NA,rainforest,rainforest,local,106,67,1817,21,community,mammal,Elephas maximus;Panthera tigris;Tapirus indicus;Cuon alpinus;Manis javanica;Muntiacus vaginalis;Viverra zibetha;Hystrix brachyuran;Cervus unicolor;Canis aureus;Neofelis nebulosa;Pardofelis marmorata,32,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,camera,1,NA,NA,observational,cross_sectional,90
RO0015,"Giman, B; Stuebing, R; Megum, N; Mcshea, WJ; Stewart, CM",2007,RAFFLES BULLETIN OF ZOOLOGY,NA,A camera trapping inventory for mammals in a mixed use planted forest in Sarawak,"A series of camera trapping surveys was done in and around an Acacia plantation in central Sarawak to monitor wildlife populations within the planted forest. The study area was divided into I km(2) blocks with two cameras placed in each block for thirty days at each position, and placed in five study areas for a period of approximately six months. Camera sites were baited with a variety of commercially available scent lures. During 1,632 trap-nights, a total of 25 species of mammals were detected and photographed, comprising 15 families, and 23 genera, including local Bearded Pig (Sus barbatus), Sambar Deer (Cervus unicolor), Sun Bear (Helarctos malayanus), and an Otter Civet (Cynogale bennettii). Some lures failed to attract any mammals, while oily lures such as Fish Oil, seemed to better withstand rain, increasing the long-term chances for obtaining species photographs. Magna Glan, producing a very strong odor, attracted numerous terrestrial mammals and remained detectable even to humans for at least one month, even during the rainy season. The implications of the results of this study for successfully monitoring tropical forest wildlife is discussed.",Malaysia,NA,Malaysia,NA,rainforest,rainforest,local,10,5,1632,6,multi_species,mammal,Sus barbatus;Cervus unicolor;Helarctos malayanus;Cynogale bennettii,25,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,camera,1,NA,NA,observational,cross_sectional,95
