type,variable,kappa,accuracy
binary_ecological_scope,abundance,0.97441422,0.989473684
binary_ecological_scope,age_structure,NA,1
binary_ecological_scope,anthropogenic_disturbance_effect,0.935064935,0.968421053
binary_ecological_scope,behavioral_response_to_factor,0.892412231,0.947368421
binary_ecological_scope,behavioral_state_classification,0.272588055,0.947368421
binary_ecological_scope,community_composition,0.967741935,0.989473684
binary_ecological_scope,connectivity,0.946478873,0.989473684
binary_ecological_scope,demographic_rate,0.661921708,0.989473684
binary_ecological_scope,density,1,1
binary_ecological_scope,detectability,0.964983413,0.989473684
binary_ecological_scope,diel_activity,0.954216867,0.978947368
binary_ecological_scope,direct_human_pressure,0.953950557,0.989473684
binary_ecological_scope,dispersal,1,1
binary_ecological_scope,diversity_or_evenness,1,1
binary_ecological_scope,group_composition,0.851794072,0.989473684
binary_ecological_scope,group_size,0.739726027,0.978947368
binary_ecological_scope,habitat_landscape_use,0.976618262,0.989473684
binary_ecological_scope,herbivory,0,0.978947368
binary_ecological_scope,human_wildlife_overlap,1,1
binary_ecological_scope,interspecific_competition,0.904618474,0.978947368
binary_ecological_scope,interspecific_temporal_spatial_avoidance,0.961460446,0.989473684
binary_ecological_scope,occupancy,0.95527307,0.978947368
binary_ecological_scope,population_growth_rate,NA,1
binary_ecological_scope,predator_prey_interaction,0.953950557,0.989473684
binary_ecological_scope,scavenging,NA,1
binary_ecological_scope,seed_dispersal,1,1
binary_ecological_scope,sex_ratio,0.794816415,0.989473684
binary_ecological_scope,social_dynamics,NA,1
binary_ecological_scope,space_use_extent,0.903553299,0.989473684
binary_ecological_scope,species_distribution,0.877419355,0.978947368
binary_ecological_scope,species_richness,0.977756966,0.989473684
binary_ecological_scope,trophic_or_functional_structure,0.920899251,0.978947368
binary_ecological_scope,within_species_spatial_overlap,0.822429907,0.978947368
factor,biome_classified,0.929223744,0.967741935
factor,biome_imputed,0.873493976,0.904761905
factor,country,0.973507768,0.975308642
factor,country_imputed,1,1
factor,focal_species_scientific_name,1,1
factor,primary_taxonomic_group,0.946868009,0.978947368
factor,sampling_method,0.860674628,0.926315789
factor,scientific_name,0.987333756,0.9875
factor,spatial_scale,0.936529372,0.978723404
factor,statistical_method_listed,0.911630559,0.919354839
factor,study_approach,0.889534884,0.978947368
factor,taxonomy_scope,0.968349159,0.978947368
factor,temporal_design,0.826388889,0.906666667
numeric,deployment_number,NA,1
numeric,site_number,NA,0.966666667
numeric,species_count_minimum,NA,0.988372093
numeric,temporal_scale_month,NA,0.962264151
numeric,trap_night,NA,1
other_binary,camera_main,0.794816415,0.989473684
other_binary,focal_species_emphasis,0.954783436,0.978947368
,,,
"Notes: Cells with NaN indicate that Cohen¡¦s Kappa could not be calculated due to no variation in the data (e.g., all entries were identical). Cells with NA indicate that Cohen¡¦s Kappa is not applicable for that variable type (e.g., numeric variables).",,,
